Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
CDAE-DCNN_ALL,10,FM,91.11538462,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,5,FM,91.65384615,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,0,FM,91.88461538,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-2,FM,92.19230769,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-4,FM,92.30769231,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-6,FM,91.84615385,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-8,FM,91.26923077,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-10,FM,91.03846154,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-12,FM,90.30769231,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-14,FM,88.73076923,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-16,FM,86.03846154,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-18,FM,80.88461538,7393.670395,0.001,189 / 200
CDAE-DCNN_ALL,-20,FM,67.07692308,7393.670395,0.001,189 / 200
LDC-Unet_ALL,10,FM,92.5,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,5,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,0,FM,91.84615385,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-2,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-4,FM,92.5,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-6,FM,92.15384615,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-8,FM,92.34615385,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-10,FM,92.61538462,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-12,FM,92.07692308,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-14,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-16,FM,91.76923077,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-18,FM,91.65384615,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-20,FM,90.80769231,74693.05413,0.0001,200 / 200
LPI-Net_ALL,10,FM,91.30769231,6021.641914,0.01,200 / 200
LPI-Net_ALL,5,FM,91.0,6021.641914,0.01,200 / 200
LPI-Net_ALL,0,FM,91.53846154,6021.641914,0.01,200 / 200
LPI-Net_ALL,-2,FM,91.11538462,6021.641914,0.01,200 / 200
LPI-Net_ALL,-4,FM,90.73076923,6021.641914,0.01,200 / 200
LPI-Net_ALL,-6,FM,90.11538462,6021.641914,0.01,200 / 200
LPI-Net_ALL,-8,FM,90.11538462,6021.641914,0.01,200 / 200
LPI-Net_ALL,-10,FM,88.65384615,6021.641914,0.01,200 / 200
LPI-Net_ALL,-12,FM,86.23076923,6021.641914,0.01,200 / 200
LPI-Net_ALL,-14,FM,83.38461538,6021.641914,0.01,200 / 200
LPI-Net_ALL,-16,FM,75.88461538,6021.641914,0.01,200 / 200
LPI-Net_ALL,-18,FM,66.15384615,6021.641914,0.01,200 / 200
LPI-Net_ALL,-20,FM,47.19230769,6021.641914,0.01,200 / 200
STFT-CNN_ALL,10,FM,88.80769231,3131.376092,0.001,200 / 200
STFT-CNN_ALL,5,FM,89.19230769,3131.376092,0.001,200 / 200
STFT-CNN_ALL,0,FM,85.92307692,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-2,FM,86.42307692,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-4,FM,85.88461538,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-6,FM,86.19230769,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-8,FM,84.42307692,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-10,FM,85.19230769,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-12,FM,83.46153846,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-14,FM,79.19230769,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-16,FM,78.23076923,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-18,FM,71.53846154,3131.376092,0.001,200 / 200
STFT-CNN_ALL,-20,FM,60.15384615,3131.376092,0.001,200 / 200
ViT_ALL,10,FM,91.96153846,166.64,0.0001,200 / 200
ViT_ALL,5,FM,91.30769231,166.64,0.0001,200 / 200
ViT_ALL,0,FM,91.46153846,166.64,0.0001,200 / 200
ViT_ALL,-2,FM,91.42307692,166.64,0.0001,200 / 200
ViT_ALL,-4,FM,92.0,166.64,0.0001,200 / 200
ViT_ALL,-6,FM,92.53846154,166.64,0.0001,200 / 200
ViT_ALL,-8,FM,91.46153846,166.64,0.0001,200 / 200
ViT_ALL,-10,FM,91.5,166.64,0.0001,200 / 200
ViT_ALL,-12,FM,89.34615385,166.64,0.0001,200 / 200
ViT_ALL,-14,FM,90.03846154,166.64,0.0001,200 / 200
ViT_ALL,-16,FM,88.38461538,166.64,0.0001,200 / 200
ViT_ALL,-18,FM,84.19230769,166.64,0.0001,200 / 200
ViT_ALL,-20,FM,75.03846154,166.64,0.0001,200 / 200
