Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
CDAE-DCNN_ALL,10,ALL,44.74242424,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,5,ALL,44.39393939,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,0,ALL,42.5,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-2,ALL,41.68181818,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-4,ALL,40.93939394,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-6,ALL,40.95454545,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-8,ALL,40.25757576,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-10,ALL,39.77272727,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-12,ALL,40.0,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-14,ALL,37.3030303,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-16,ALL,36.12121212,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-18,ALL,32.43939394,17781.72227,0.001,200 / 200
CDAE-DCNN_ALL,-20,ALL,25.03030303,17781.72227,0.001,200 / 200
LDC-Unet_ALL,10,ALL,71.59090909,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,5,ALL,68.42424242,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,0,ALL,62.6969697,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-2,ALL,59.53030303,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-4,ALL,55.16666667,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-6,ALL,51.01515152,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-8,ALL,48.34848485,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-10,ALL,46.46969697,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-12,ALL,44.59090909,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-14,ALL,44.18181818,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-16,ALL,43.59090909,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-18,ALL,42.40909091,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-20,ALL,41.84848485,186850.2206,0.0001,200 / 200
LPI-Net_ALL,10,ALL,45.18181818,14683.99009,0.01,200 / 200
LPI-Net_ALL,5,ALL,45.48484848,14683.99009,0.01,200 / 200
LPI-Net_ALL,0,ALL,43.42424242,14683.99009,0.01,200 / 200
LPI-Net_ALL,-2,ALL,42.74242424,14683.99009,0.01,200 / 200
LPI-Net_ALL,-4,ALL,41.92424242,14683.99009,0.01,200 / 200
LPI-Net_ALL,-6,ALL,42.18181818,14683.99009,0.01,200 / 200
LPI-Net_ALL,-8,ALL,41.07575758,14683.99009,0.01,200 / 200
LPI-Net_ALL,-10,ALL,40.07575758,14683.99009,0.01,200 / 200
LPI-Net_ALL,-12,ALL,38.18181818,14683.99009,0.01,200 / 200
LPI-Net_ALL,-14,ALL,36.78787879,14683.99009,0.01,200 / 200
LPI-Net_ALL,-16,ALL,33.98484848,14683.99009,0.01,200 / 200
LPI-Net_ALL,-18,ALL,29.54545455,14683.99009,0.01,200 / 200
LPI-Net_ALL,-20,ALL,19.60606061,14683.99009,0.01,200 / 200
STFT-CNN_ALL,10,ALL,44.93939394,6054.632535,0.001,200 / 200
STFT-CNN_ALL,5,ALL,44.93939394,6054.632535,0.001,200 / 200
STFT-CNN_ALL,0,ALL,42.75757576,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-2,ALL,42.01515152,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-4,ALL,41.8030303,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-6,ALL,40.31818182,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-8,ALL,38.63636364,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-10,ALL,38.95454545,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-12,ALL,37.66666667,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-14,ALL,36.39393939,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-16,ALL,33.65151515,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-18,ALL,31.56060606,6054.632535,0.001,200 / 200
STFT-CNN_ALL,-20,ALL,25.48484848,6054.632535,0.001,200 / 200
ViT_ALL,10,ALL,44.21212121,0.0,0.0001,200 / 200
ViT_ALL,5,ALL,43.75757576,0.0,0.0001,200 / 200
ViT_ALL,0,ALL,43.18181818,0.0,0.0001,200 / 200
ViT_ALL,-2,ALL,42.93939394,0.0,0.0001,200 / 200
ViT_ALL,-4,ALL,42.86363636,0.0,0.0001,200 / 200
ViT_ALL,-6,ALL,42.13636364,0.0,0.0001,200 / 200
ViT_ALL,-8,ALL,42.25757576,0.0,0.0001,200 / 200
ViT_ALL,-10,ALL,42.6969697,0.0,0.0001,200 / 200
ViT_ALL,-12,ALL,41.59090909,0.0,0.0001,200 / 200
ViT_ALL,-14,ALL,40.22727273,0.0,0.0001,200 / 200
ViT_ALL,-16,ALL,38.90909091,0.0,0.0001,200 / 200
ViT_ALL,-18,ALL,36.16666667,0.0,0.0001,200 / 200
ViT_ALL,-20,ALL,29.48484848,0.0,0.0001,200 / 200
